gene_family,aryal_gene,aryal_product,current_product,aryal_module_bin,current_module_bin,aryal_consensus_rank_pct_mean,current_candidate_set,current_best_rank,current_consensus_rank_pct_mean,current_fox_status,layer_fox,layer_proteomics_detected,layer_proteomics_directional,three_layer_model_fox_proteomics_directional,hgt_passenger_flag,frac_assemblies_proximal,fisher_p_vs_background,exact_product_match
GF_01652,nuoH,NADH-quinone oxidoreductase subunit NuoH,cytochrome c oxidase subunit I,Other / unassigned,Respiration & bioenergetics,0.4203037108836649,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0374,0.8928,False
GF_00665,rpoB,DNA-directed RNA polymerase subunit beta,precorrin-4 C(11)-methyltransferase,Housekeeping / lineage marker,Other / unassigned,0.5397410363381427,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0373,0.9549,False
GF_02109,,chlorophyll a/b-binding protein,phycocyanin subunit alpha,Other / unassigned,Other / unassigned,0.5380613757552745,Model-Supported,144.0,0.7384370015948963,Novel/uncertain candidate,False,False,False,False,False,0.0373,0.90073,False
GF_00613,,acetolactate synthase large subunit,molybdopterin-synthase adenylyltransferase MoeB,Other / unassigned,Other / unassigned,0.5449301111393735,Model-Supported,274.0,0.3492822966507177,Novel/uncertain candidate,False,False,False,False,False,0.0373,0.916,False
GF_00715,,RNA recognition motif domain-containing protein,protein phosphatase 2C domain-containing protein,Other / unassigned,Other / unassigned,0.5219257371494918,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.037,0.94196,False
GF_00799,hemB,porphobilinogen synthase,chlorophyll a/b-binding protein,Other / unassigned,Other / unassigned,0.3532861006527414,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.037,0.93797,False
GF_00689,,YciI family protein,site-2 protease family protein,Other / unassigned,Other / unassigned,0.5692771695641113,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.037,0.8928,False
GF_01495,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",2Fe-2S iron-sulfur cluster-binding protein,Other / unassigned,Metallocluster & Fe-S biogenesis,0.6445180720364578,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0361,0.96032,False
GF_01514,,magnesium chelatase subunit H,ABC transporter ATP-binding protein,Other / unassigned,Transport,0.5403165502455493,Model-Supported,40.0,0.6379585326953748,Novel/uncertain candidate,False,False,False,False,False,0.036,0.95053,False
GF_01818,nusA,transcription termination factor NusA,glucose-6-phosphate dehydrogenase,Regulation,Other / unassigned,0.6726315930549364,Model-Supported,203.0,0.5227272727272727,FOX-consistent support function (plausible rediscovery),True,True,True,True,False,0.0357,0.89702,False
GF_01498,chlP,geranylgeranyl reductase,ATP-binding protein,Other / unassigned,Other / unassigned,0.5276466608413994,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0355,0.96032,False
GF_02167,,aspartate aminotransferase,C-3'%2C4' desaturase CrtD,Other / unassigned,Other / unassigned,0.8751459944663351,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.034,0.94547,False
GF_02153,,phycobilisome linker polypeptide,HypC/HybG/HupF family hydrogenase formation chaperone,Other / unassigned,Other / unassigned,0.3798210082700414,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0338,0.96578,False
GF_00297,,DUF1257 domain-containing protein,(Fe-S)-binding protein,Stress / membrane / uncharacterized,Metallocluster & Fe-S biogenesis,0.2998009234133744,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0337,0.97241,False
GF_00825,,DUF1815 family protein,photosystem I reaction center subunit IX,Stress / membrane / uncharacterized,Housekeeping / lineage marker,0.9465703001360664,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0333,0.93205,False
GF_00389,,helix-turn-helix domain-containing protein,energy-coupling factor ABC transporter ATP-binding protein,Other / unassigned,Transport,0.2979115395730696,Model-Supported,312.0,0.235645933014354,Novel/uncertain candidate,False,False,False,False,False,0.0333,0.89658,False
GF_01880,,NUDIX hydrolase,HhoA/HhoB/HtrA family serine endopeptidase,Other / unassigned,Stress / membrane / uncharacterized,0.3130999676664833,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0333,0.9157,False
GF_01253,,DUF433 domain-containing protein,alanine--glyoxylate aminotransferase family protein,Stress / membrane / uncharacterized,Other / unassigned,0.7143909913001609,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0328,0.89639,False
GF_01827,sufB,Fe-S cluster assembly protein SufB,type 1 glutamine amidotransferase,Metallocluster & Fe-S biogenesis,Other / unassigned,0.733899922929395,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0327,0.9767,False
GF_01033,sufC,Fe-S cluster assembly ATPase SufC,4Fe-4S single cluster domain-containing protein,Metallocluster & Fe-S biogenesis,Metallocluster & Fe-S biogenesis,0.4530358532673563,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0323,0.93192,False
GF_01603,,,bidirectional hydrogenase complex protein HoxU,Other / unassigned,Other / unassigned,0.7546761863941326,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0323,0.91552,False
GF_00377,,bifunctional nuclease family protein,calcium/proton exchanger,Other / unassigned,Other / unassigned,0.9233236970034052,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.032,0.93188,False
GF_00400,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,cytochrome b6-f complex subunit V,Other / unassigned,Respiration & bioenergetics,0.5741450822756268,Model-Supported,60.0,0.6750398724082934,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0317,0.8963,False
GF_00874,rpsN,30S ribosomal protein S14,cysteine synthase A,Housekeeping / lineage marker,Other / unassigned,0.7523727850693712,Model-Supported,102.0,0.6491228070175439,Novel/uncertain candidate,False,False,False,False,False,0.0317,0.93184,False
GF_00212,,polyribonucleotide nucleotidyltransferase,GNAT family N-acetyltransferase,Other / unassigned,Other / unassigned,0.4703946307253581,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0317,0.93184,False
GF_01821,,NDP-sugar synthase,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,Other / unassigned,Other / unassigned,0.6101683695980504,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0315,0.97657,False
GF_00635,trxA,thioredoxin,pyridoxine 5'-phosphate synthase,O2 protection & redox homeostasis,Other / unassigned,0.5915745467605416,Model-Supported,329.0,0.2811004784688995,Novel/uncertain candidate,False,False,False,False,False,0.0314,0.97141,False
GF_00608,bchL,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,glutamate synthase small subunit,Metallocluster & Fe-S biogenesis,Other / unassigned,0.6507474574171979,Model-Supported,19.0,0.9366028708133972,Novel/uncertain candidate,False,False,False,False,False,0.0314,0.98433,False
GF_00593,clpB,ATP-dependent chaperone ClpB,chorismate lyase,Other / unassigned,Other / unassigned,0.6225879648279272,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.031,0.96575,False
GF_00861,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,3-dehydroquinate synthase,Housekeeping / lineage marker,Other / unassigned,0.8252452174521518,Highly Pure,,,Novel/uncertain candidate,False,True,False,False,False,0.0305,0.95786,False
GF_00677,,CO2 hydration protein,DUF697 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.5875586348274638,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0303,0.96512,False
GF_01770,acsF,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,carotenoid isomerase,Other / unassigned,Other / unassigned,0.3866401863568045,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0303,0.91519,False
GF_01860,,pyridoxine 5'-phosphate synthase,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.4449669228372015,Model-Supported,17.0,0.6582934609250399,Novel/uncertain candidate,False,False,False,False,False,0.0299,0.95777,False
GF_00103,lipA,lipoyl synthase,photosystem II protein Psb27,Other / unassigned,Housekeeping / lineage marker,0.3964830572464006,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0299,0.97127,False
GF_00365,glpX,class II fructose-bisphosphatase,50S ribosomal protein L19,Other / unassigned,Housekeeping / lineage marker,0.5672181945703187,Model-Supported,433.0,0.1670653907496012,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0294,0.98473,False
GF_00916,clpX,ATP-dependent protease ATP-binding subunit ClpX,NAD(P)H-quinone oxidoreductase subunit H,Other / unassigned,Other / unassigned,0.465229331440968,Model-Supported,155.0,0.492822966507177,Novel/uncertain candidate,False,True,True,False,False,0.0294,0.97124,False
GF_01333,,ferredoxin family protein,long-chain acyl-[acyl-carrier-protein] reductase,O2 protection & redox homeostasis,Other / unassigned,0.677369082559543,Model-Supported,30.0,0.4792663476874003,Novel/uncertain candidate,False,False,False,False,False,0.0292,0.98735,False
GF_00869,,peroxiredoxin,F0F1 ATP synthase subunit A,O2 protection & redox homeostasis,Housekeeping / lineage marker,0.4838262153821706,Model-Supported,425.0,0.2029505582137161,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0291,0.97121,False
GF_00238,,hypothetical protein,cytochrome c oxidase subunit I,Stress / membrane / uncharacterized,Respiration & bioenergetics,0.5119366514838992,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.029,0.95766,False
GF_02217,,response regulator transcription factor,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,Regulation,Other / unassigned,0.7546538145148804,Model-Supported,462.0,0.2224880382775119,Novel/uncertain candidate,False,False,False,False,False,0.0289,0.96496,False
GF_00624,rpmG,50S ribosomal protein L33,NADP-dependent isocitrate dehydrogenase,Housekeeping / lineage marker,Other / unassigned,0.7669318357132379,Model-Supported,175.0,0.4242424242424242,FOX-consistent support function (plausible rediscovery),True,True,True,True,False,0.0288,0.98732,False
GF_00675,rplL,50S ribosomal protein L7/L12,YjbQ family protein,Housekeeping / lineage marker,Other / unassigned,0.5920362146469967,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0286,0.94952,False
GF_01361,apcB,allophycocyanin subunit beta,MBL fold metallo-hydrolase,Other / unassigned,Other / unassigned,0.3168249535328306,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0286,0.99427,False
GF_00676,,Rrf2 family transcriptional regulator,sugar transferase,Regulation,Other / unassigned,0.4529473728489693,Model-Supported,371.0,0.1798245614035087,Novel/uncertain candidate,False,False,False,False,False,0.0282,0.95755,False
GF_01502,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase",phycobilisome linker polypeptide,Other / unassigned,Other / unassigned,0.3399575647923245,Model-Supported,306.0,0.2117224880382775,Novel/uncertain candidate,False,True,True,False,False,0.0281,0.99177,False
GF_00284,ccmK1,Carbon dioxide-concentrating mechanism protein CcmK homolog 1,hormogonium tapered terminus morphoprotein TftA,Other / unassigned,Other / unassigned,0.3073227527618988,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0271,0.99942,False
GF_01659,,phycocyanin subunit beta,fumarate reductase/succinate dehydrogenase flavoprotein subunit,Other / unassigned,Respiration & bioenergetics,0.4739939353886124,Model-Supported,16.0,0.9242424242424242,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.027,0.8616,False
GF_00213,psbA,photosystem II q(b) protein,carbohydrate kinase,Housekeeping / lineage marker,Other / unassigned,0.5632110592807121,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.027,0.97029,False
GF_00457,purE,5-(carboxyamino)imidazole ribonucleotide mutase,porphobilinogen synthase,Other / unassigned,Other / unassigned,0.6644632279202497,Model-Supported,199.0,0.3759968102073365,Novel/uncertain candidate,False,True,True,False,False,0.0265,0.94922,False
GF_00643,rplK,50S ribosomal protein L11,protochlorophyllide reductase,Housekeeping / lineage marker,Other / unassigned,0.4235188241098908,Model-Supported,63.0,0.5956937799043062,Novel/uncertain candidate,False,False,False,False,False,0.0264,0.98837,False
GF_01819,ureC,urease subunit alpha,threonine synthase,Other / unassigned,Other / unassigned,0.5989429531497352,Model-Supported,40.0,0.70414673046252,Novel/uncertain candidate,False,False,False,False,False,0.0262,0.98836,False
GF_00673,fabF,beta-ketoacyl-ACP synthase II,protein translocase subunit SecD,Other / unassigned,Other / unassigned,0.5096432174332537,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0261,0.97409,False
GF_01011,,sulfate/molybdate ABC transporter ATP-binding protein,heme-copper oxidase subunit III,Transport,Respiration & bioenergetics,0.4352143688097127,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0259,0.9704,False
GF_00604,hemE,uroporphyrinogen decarboxylase,30S ribosomal protein S21,Other / unassigned,Housekeeping / lineage marker,0.7262740057612969,Model-Supported,45.0,0.865231259968102,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0259,0.9704,False
GF_01635,,ABC transporter permease,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Transport,Other / unassigned,0.7888120187366836,Model-Supported,44.0,0.2946570972886763,Novel/uncertain candidate,False,False,False,False,False,0.0256,0.96784,False
GF_00981,,glutamine-hydrolyzing GMP synthase,transglycosylase domain-containing protein,Other / unassigned,Other / unassigned,0.2884785478108329,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0252,0.99373,False
GF_01654,ispG,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,aldo/keto reductase,Other / unassigned,Other / unassigned,0.2793264743120555,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0251,0.99371,False
GF_01500,,Ycf34 family protein,ABC transporter permease,Other / unassigned,Transport,0.9326824317743044,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.025,0.97029,False
GF_01234,cobA,uroporphyrinogen-III C-methyltransferase,Grx4 family monothiol glutaredoxin,Other / unassigned,O2 protection & redox homeostasis,0.5256571576299445,Model-Supported,74.0,0.5514354066985646,FOX-consistent support function (plausible rediscovery),True,True,False,False,False,0.025,0.9421,False
GF_00334,,NAD-dependent epimerase/dehydratase family protein,adenine phosphoribosyltransferase,Other / unassigned,Other / unassigned,0.596082734357905,Highly Pure,,,Novel/uncertain candidate,False,True,True,False,False,0.025,0.94222,False
GF_00402,,peroxiredoxin,glycogen synthase GlgA,O2 protection & redox homeostasis,Carbon metabolism & NAD(P)H supply,0.90213911216583,Model-Supported,10.0,0.8927432216905902,Novel/uncertain candidate,False,False,False,False,False,0.0249,0.99273,False
GF_01501,groL,chaperonin GroEL,VOC family protein,Other / unassigned,Other / unassigned,0.2464716553152618,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0249,0.99943,False
GF_01000,,UbiD family decarboxylase,photosystem II reaction center PsbP,Other / unassigned,Housekeeping / lineage marker,0.3715824554806513,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0249,0.98635,False
GF_01462,petB,cytochrome b6,manganese catalase family protein,Respiration & bioenergetics,O2 protection & redox homeostasis,0.10506716278929,Model-Supported,15.0,0.9114832535885168,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0247,0.99912,False
GF_00265,,CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein,peroxiredoxin,Metallocluster & Fe-S biogenesis,O2 protection & redox homeostasis,0.4575905819739471,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0244,0.97022,False
GF_00211,,phasin family protein,ABC transporter ATP-binding protein,Other / unassigned,Transport,0.4305131959789063,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0238,0.94199,False
GF_00182,hetR,heterocyst differentiation master regulator HetR,photosystem I reaction center subunit II PsaD,Regulation,Housekeeping / lineage marker,0.4559888602834986,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0233,0.94189,False
GF_00178,rpoD,RNA polymerase sigma factor RpoD,50S ribosomal protein L36,Housekeeping / lineage marker,Housekeeping / lineage marker,0.6128932828685254,Model-Supported,341.0,0.2862838915470495,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0231,0.99164,False
GF_00296,rpsU,30S ribosomal protein S21,ACR3 family arsenite efflux transporter,Housekeeping / lineage marker,Transport,0.2248285878674052,Model-Supported,75.0,0.6889952153110048,Novel/uncertain candidate,False,False,False,False,False,0.023,0.96798,False
GF_00667,,TIGR02652 family protein,AI-2E family transporter,Other / unassigned,Transport,0.592173723706371,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.023,0.96798,False
GF_01743,gmd,"GDP-mannose 4,6-dehydratase",universal stress protein,Other / unassigned,Other / unassigned,0.3885262253443815,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0229,0.99453,False
GF_00332,,NADP-dependent isocitrate dehydrogenase,CPBP family intramembrane glutamic endopeptidase,Other / unassigned,Stress / membrane / uncharacterized,0.368285379059649,Model-Supported,231.0,0.4892344497607656,Novel/uncertain candidate,False,False,False,False,False,0.0228,0.99163,False
GF_00395,hpnH,adenosyl-hopene transferase HpnH,glutamate synthase large subunit,Other / unassigned,Other / unassigned,0.3742839879039474,Model-Supported,244.0,0.4820574162679426,Novel/uncertain candidate,False,False,False,False,False,0.0227,0.96794,False
GF_01637,pstB,phosphate ABC transporter ATP-binding protein PstB,uroporphyrinogen decarboxylase,Transport,Other / unassigned,0.1794053483335446,Model-Supported,17.0,0.8748006379585327,Novel/uncertain candidate,False,False,False,False,False,0.0227,0.94178,False
GF_01510,,HU family DNA-binding protein,M20 family metallopeptidase,Other / unassigned,Stress / membrane / uncharacterized,0.6872310904457708,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0224,0.99497,False
GF_01276,pstA,phosphate ABC transporter permease PstA,hypothetical protein,Transport,Stress / membrane / uncharacterized,0.2546830364094083,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0222,0.94169,False
GF_00398,,NAD(P) transhydrogenase subunit alpha,DEAD/DEAH box helicase family protein,Other / unassigned,Other / unassigned,0.6141411122692193,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0222,0.94169,False
GF_02107,,glycoside hydrolase family 57 protein,4-hydroxy-tetrahydrodipicolinate synthase,Other / unassigned,Other / unassigned,0.6735301631376274,Highly Pure,,,Novel/uncertain candidate,False,True,True,False,False,0.0221,0.99724,False
GF_01667,,manganese catalase family protein,ATP-dependent chaperone ClpB,O2 protection & redox homeostasis,Other / unassigned,0.629356664398159,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0217,0.96777,False
GF_01673,,methionine gamma-lyase family protein,cytochrome b559 subunit alpha,Other / unassigned,Respiration & bioenergetics,0.3391179771637405,Model-Supported,12.0,0.6503189792663477,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0213,0.96774,False
GF_01660,galT,galactose-1-phosphate uridylyltransferase,DUF5340 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.6434156147944461,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0213,0.94151,False
GF_01605,rfbB,"dTDP-glucose 4,6-dehydratase",YqeG family HAD IIIA-type phosphatase,Other / unassigned,Other / unassigned,0.3356047565520089,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0213,0.94151,False
GF_01658,,DUF433 domain-containing protein,NAD(P)H-quinone oxidoreductase subunit M,Stress / membrane / uncharacterized,Other / unassigned,0.7160659602664561,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0208,0.94143,False
GF_01032,rplA,50S ribosomal protein L1,phosphoribosylformylglycinamidine synthase subunit PurS,Housekeeping / lineage marker,Other / unassigned,0.4418481818897604,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0207,0.99455,False
GF_00435,,zinc-dependent dehydrogenase,rod shape-determining protein,Other / unassigned,Other / unassigned,0.6051747285085666,Model-Supported,59.0,0.534688995215311,Novel/uncertain candidate,False,True,True,False,False,0.0207,0.98263,False
GF_00893,,peptide-methionine (S)-S-oxide reductase MsrA,50S ribosomal protein L2,Other / unassigned,Housekeeping / lineage marker,0.5899336682449615,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0206,0.96765,False
GF_00679,psbX,photosystem II reaction center X protein,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,Housekeeping / lineage marker,Other / unassigned,0.2809239709911828,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0202,0.9676,False
GF_00591,,sulfite oxidase-like oxidoreductase,cysteine desulfurase,Respiration & bioenergetics,Regulation,0.3985395827905686,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.02,0.94127,False
GF_01767,glcD,glycolate oxidase subunit GlcD,DUF3067 family protein,Respiration & bioenergetics,Stress / membrane / uncharacterized,0.4057837045739507,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0198,0.98253,False
GF_01001,petC,cytochrome b6-f complex iron-sulfur subunit,DUF3285 domain-containing protein,Metallocluster & Fe-S biogenesis,Stress / membrane / uncharacterized,0.3483524107995772,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0198,0.98253,False
GF_00173,argH,argininosuccinate lyase,beta-carotene hydroxylase,Other / unassigned,Other / unassigned,0.3672692409755921,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0196,0.99011,False
GF_01918,,phosphoribulokinase,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Other / unassigned,Other / unassigned,0.3582405374529525,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0196,0.99011,False
GF_00672,rpmA,50S ribosomal protein L27,transglutaminase,Housekeeping / lineage marker,Other / unassigned,0.54329538242026,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0193,0.9982,False
GF_01496,grxD,Grx4 family monothiol glutaredoxin,nickel pincer cofactor biosynthesis protein LarB,O2 protection & redox homeostasis,Other / unassigned,0.4399196896639519,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0192,0.99008,False
GF_00974,,dihydroorotase,molybdenum cofactor biosynthesis protein B,Other / unassigned,Other / unassigned,0.6443329354803033,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0192,0.98247,False
GF_00393,rpmB,50S ribosomal protein L28,DNA-directed RNA polymerase subunit beta,Housekeeping / lineage marker,Housekeeping / lineage marker,0.778490197081501,Model-Supported,106.0,0.4497607655502392,Housekeeping marker (not a transplant candidate),False,True,True,False,False,0.0189,0.94105,False
GF_00382,,flavin prenyltransferase UbiX,ABC transporter permease,Other / unassigned,Transport,0.4627683591204564,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0189,0.99006,False
GF_00708,,adenylosuccinate synthase,isoaspartyl peptidase/L-asparaginase,Other / unassigned,Stress / membrane / uncharacterized,0.3406427727907246,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0187,0.99004,False
GF_00792,rpsS,30S ribosomal protein S19,protein IsiD,Housekeeping / lineage marker,Other / unassigned,0.561429381977735,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0187,0.99681,False
GF_00800,hemB,porphobilinogen synthase,ABC transporter ATP-binding protein,Other / unassigned,Transport,0.2590026685837096,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0185,0.97163,False
GF_00612,pyk,pyruvate kinase,50S ribosomal protein L27,Other / unassigned,Housekeeping / lineage marker,0.3145262496968631,Model-Supported,139.0,0.6371610845295056,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0184,0.99442,False
GF_00614,aroF,3-deoxy-7-phosphoheptulonate synthase,molecular chaperone DnaK,Other / unassigned,Other / unassigned,0.5980469158310924,Model-Supported,237.0,0.2368421052631578,Novel/uncertain candidate,False,True,True,False,False,0.0183,0.99679,False
GF_01532,cynS,cyanase,Gfo/Idh/MocA family protein,Other / unassigned,Other / unassigned,0.3140043493422481,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0182,0.97153,False
GF_00982,kaiC,circadian clock protein KaiC,DUF433 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.628812220208629,Model-Supported,2.0,0.8528708133971292,Novel/uncertain candidate,False,False,False,False,False,0.0181,0.99894,False
GF_00490,,hypothetical protein,ParA family protein,Stress / membrane / uncharacterized,Other / unassigned,0.4601935274432165,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0179,0.97153,False
GF_00618,,"RNA polymerase sigma factor, RpoD/SigA family",50S ribosomal protein L28,Housekeeping / lineage marker,Housekeeping / lineage marker,0.5879922185847066,Model-Supported,100.0,0.553030303030303,Housekeeping marker (not a transplant candidate),False,True,False,False,False,0.0179,0.97153,False
GF_00984,,ATP-dependent zinc metalloprotease FtsH3,c-type cytochrome biogenesis protein CcsB,Housekeeping / lineage marker,Respiration & bioenergetics,0.2650352893221872,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0176,0.99893,False
GF_01741,,argininosuccinate synthase,formamidase,Other / unassigned,Other / unassigned,0.2596831448106872,Model-Supported,217.0,0.4118819776714513,Novel/uncertain candidate,False,False,False,False,False,0.0175,0.9823,False
GF_00175,,LuxR C-terminal-related transcriptional regulator,DUF433 domain-containing protein,Regulation,Stress / membrane / uncharacterized,0.4276743281927474,Model-Supported,1.0,0.7763157894736842,Novel/uncertain candidate,False,False,False,False,False,0.0169,0.97139,False
GF_02179,atpB,F0F1 ATP synthase subunit A,photosystem I assembly protein Ycf4,Housekeeping / lineage marker,Housekeeping / lineage marker,0.3027406787672657,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0169,0.99053,False
GF_01761,,peroxiredoxin,YtxH domain-containing protein,O2 protection & redox homeostasis,Other / unassigned,0.4042993431708273,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0167,0.97134,False
GF_02166,,succinate dehydrogenase/fumarate reductase flavoprotein subunit,site-2 protease family protein,Respiration & bioenergetics,Other / unassigned,0.9772998553920677,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0167,0.99051,False
GF_01898,hpnH,adenosyl-hopene transferase HpnH,F0F1 ATP synthase subunit A,Other / unassigned,Housekeeping / lineage marker,0.3842647195066817,Model-Supported,124.0,0.4250398724082934,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0165,0.9905,False
GF_00666,,LON peptidase substrate-binding domain-containing protein,AbrB family transcriptional regulator,Transport,Regulation,0.6549987699764848,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0165,0.9905,False
GF_01742,,NYN domain-containing protein,enoyl-ACP reductase FabI,Other / unassigned,Other / unassigned,0.4779009354486512,Model-Supported,103.0,0.6722488038277512,Novel/uncertain candidate,False,False,False,False,False,0.0165,0.9905,False
GF_00788,,NifU family protein,flavin-dependent oxidoreductase,Nitrogenase / nif machinery,Other / unassigned,0.2328602258692653,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0164,0.99988,False
GF_01674,,small RNA NsiR4-regulated ssr1528 family protein,peroxiredoxin,Other / unassigned,O2 protection & redox homeostasis,0.6301725039372212,Model-Supported,100.0,0.6646730462519936,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0163,0.99048,False
GF_01277,arsH,arsenical resistance protein ArsH,biotin synthase BioB,Other / unassigned,Other / unassigned,0.591449014544358,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0159,0.99044,False
