comparison,group,n_families,n_active_phase_up,active_phase_up_rate,n_phase_aligned,phase_aligned_rate,relative_risk_top_vs_nontop,odds_ratio_top_vs_nontop,fisher_two_sided_p
All AllComposite families,Top families,192,75,0.390625,138,0.71875,7.720947265625,12.029246794871796,4.1954257532857485e-16
All AllComposite families,Non-top families,1265,64,0.05059288537549407,167,0.13201581027667983,7.720947265625,12.029246794871796,4.1954257532857485e-16
Families with any external literature mapping,Top families,160,75,0.46875,138,0.8625,2.04345703125,2.9641544117647056,4.2433446150777267e-07
Families with any external literature mapping,Non-top families,279,64,0.22939068100358423,167,0.5985663082437276,2.04345703125,2.9641544117647056,4.2433446150777267e-07
Families with any broad N-fix response support,Top families,143,75,0.5244755244755245,138,0.965034965034965,1.4423076923076923,1.9301470588235297,0.004563196536975132
Families with any broad N-fix response support,Non-top families,176,64,0.36363636363636365,167,0.9488636363636364,1.4423076923076923,1.9301470588235297,0.004563196536975132
Families with active-phase differential support,Top families,138,75,0.5434782608695652,138,1.0,1.4181385869565215,1.9159226190476193,0.005682365780933425
Families with active-phase differential support,Non-top families,167,64,0.38323353293413176,167,1.0,1.4181385869565215,1.9159226190476193,0.005682365780933425
