gene_family,importance
GF_01426,0.21289259302193392
GF_01386,0.12873309744900513
GF_02071,0.1093005766350346
GF_02141,0.10414242438150241
GF_00622,0.03218854023913386
GF_00856,0.02620594216279116
GF_00437,0.02484192145871595
GF_02180,0.01742594443485169
GF_00300,0.015094917708358597
GF_00402,0.014221115945786785
GF_02069,0.011251807446129448
GF_01733,0.01028271438117256
GF_00931,0.009882605655039609
GF_01054,0.009671122146237856
GF_01462,0.009228431848256159
GF_01239,0.008892513691622318
GF_01783,0.008546112378824796
GF_01480,0.008438904481574753
GF_00608,0.006961200492102931
GF_02266,0.006860616095895755
GF_00603,0.0065901325164803804
GF_00349,0.00641355104046062
GF_01834,0.00597826102762871
GF_02260,0.00594312602246882
GF_00329,0.0056268329173525845
GF_00722,0.005571054115767342
GF_00524,0.005159395625209352
GF_00330,0.004676017535056581
GF_00018,0.004570892216233536
GF_00082,0.004305487772676418
GF_00887,0.004125645647120691
GF_01382,0.004088663611193704
GF_01659,0.003920414196285838
GF_01584,0.0038817887162559813
GF_01337,0.0038350935242468334
GF_01637,0.00372187963354557
GF_01328,0.003691189754285916
GF_02059,0.003356268757228449
GF_01927,0.003150088313775398
GF_01514,0.0030836006097688944
GF_00522,0.0030829769828046283
GF_00080,0.0030613441743659923
GF_00175,0.002919417931474507
GF_02145,0.0028977734724409386
GF_00455,0.0028738794374502915
GF_02263,0.002836375690246117
GF_00796,0.0026684099584683876
GF_00605,0.002648477771832362
GF_00828,0.002529673710198712
GF_01381,0.0023708373610749314
GF_00107,0.002191157422296413
GF_00424,0.0021531450966927952
GF_00488,0.002150285694438257
GF_01399,0.0021252811544821807
GF_02226,0.0020969085277326672
GF_00870,0.0020798360273363336
GF_00326,0.0018412605955801132
GF_00982,0.0018104643234305915
GF_00728,0.0016152536700782844
GF_00362,0.0016012180768841477
GF_01232,0.0015762677494094847
GF_00011,0.0015009512264543945
GF_00726,0.0014951140429322366
GF_02262,0.0014923629171810693
GF_00341,0.0014418033554035557
GF_02216,0.0014111505988531174
GF_00431,0.001355304597775786
GF_02227,0.001352059037536223
GF_01592,0.0013376642982075614
GF_00426,0.0013327649709161675
GF_00340,0.0013318100945853655
GF_00538,0.001320904176969764
GF_00324,0.0012780175921868597
GF_01504,0.0012383919291044001
GF_00296,0.0012275295379234265
GF_01823,0.0011413497400209823
GF_01383,0.001127360476346711
GF_00819,0.001114567667754454
GF_00566,0.0010725613278883704
GF_01428,0.0010427874361692018
GF_00083,0.0010208220097814185
GF_00400,0.0010051871686037287
GF_00335,0.000996721959567506
GF_00888,0.0009845199437569334
GF_00771,0.0009830391888613005
GF_00358,0.0009406104486306006
GF_01233,0.0009313721948553896
GF_00405,0.000902992844447527
GF_00755,0.0008959830300989116
GF_01244,0.0008808151368941529
GF_00315,0.0008716947941268073
GF_01012,0.0008145927101064078
GF_01904,0.0007635005536115166
GF_01332,0.0007514973481716274
GF_01338,0.0007497414655625782
GF_01314,0.0007299735964574536
GF_01543,0.0006929115573958903
GF_01627,0.0006787864501080314
GF_02075,0.0006736503920674801
GF_01674,0.0006316028372053445
GF_01897,0.0006180787259373909
GF_00874,0.0005947605763408183
GF_02223,0.0005907188314353137
GF_00396,0.000589066973934261
GF_02264,0.000587028254383275
GF_00604,0.0005797043344114183
GF_00595,0.00057602424626363
GF_00164,0.0005586519227525201
GF_01639,0.0005586330289778885
GF_00250,0.0005334614940844312
GF_01692,0.0005275098630351129
GF_00048,0.0005219076370583278
GF_00617,0.0005175594175208783
GF_02140,0.0005173134243227684
GF_00658,0.0005077643447667871
GF_00857,0.0005016699241991209
GF_00684,0.0004907434440417765
GF_00141,0.0004884998928204353
GF_00331,0.00047483977820138214
GF_01372,0.00047359811795685624
GF_00244,0.00046545905307427587
GF_01929,0.00045427902863753693
GF_00687,0.00045322264465252296
GF_01898,0.0004520996680131976
GF_00317,0.0004389054165709349
GF_01374,0.00043287628581683234
GF_01331,0.00043035213188888653
GF_00043,0.00042298873252070047
GF_01376,0.00042188105922149054
GF_02041,0.000416799047343536
GF_00578,0.0004166892219898032
GF_00661,0.00041057107763068105
GF_01923,0.00040853824817490176
GF_01460,0.0004085076669272102
GF_00525,0.000396409858025603
GF_00574,0.0003930876148265681
GF_01580,0.0003832664713114883
GF_01618,0.00037159965653210236
GF_00612,0.0003713668677479325
GF_02122,0.0003585801974209123
GF_00155,0.00035451743043601804
GF_00104,0.00035183566432845346
GF_01541,0.0003493044061657175
GF_00333,0.0003416367688776008
GF_00112,0.0003395484476848373
GF_00632,0.0003309473405474755
GF_01476,0.0003208271863543243
GF_01387,0.0003171451568516918
GF_00529,0.0003161560476510921
GF_01630,0.0003121795914156132
GF_02109,0.0003109992528522779
GF_02091,0.00031094515153665874
GF_00531,0.0003023340789071525
GF_00756,0.0002972642914904635
GF_00916,0.00029692882433954065
GF_01005,0.0002956002919539775
GF_00871,0.00027953698161176826
GF_01860,0.0002784493705166378
GF_02178,0.0002743912790143742
GF_00594,0.00026923121924260317
GF_01027,0.00026449233153481486
GF_01236,0.0002613284346723247
GF_02137,0.0002607422199432601
GF_00051,0.00025836980499462363
GF_00958,0.00025832811517586125
GF_01638,0.00025388021217978476
GF_00810,0.0002520378743922458
GF_02132,0.0002517965678154081
GF_00776,0.0002513473795380125
GF_02230,0.00025004812127112216
GF_02152,0.00024912051005372796
GF_01540,0.00024885093693488103
GF_00957,0.00024867838106690124
GF_01930,0.00024736670154847
GF_00546,0.00024303721099831082
GF_02219,0.0002412762193542308
GF_00472,0.00024124151286239887
GF_00350,0.00023844988499018097
GF_00477,0.00023650433474150932
GF_00599,0.000234355428004705
GF_00422,0.00023040736438893804
GF_00303,0.00022715720333060435
GF_01623,0.00022527378751824507
GF_00108,0.00022502942750416286
GF_01636,0.00022448004152984574
GF_00418,0.00022309650815301678
GF_01742,0.00021831692402781103
GF_01409,0.000215090991052633
GF_01684,0.0002137811810923219
GF_00549,0.0002136464347078948
GF_00570,0.0002095554970946008
GF_01840,0.00020234980380423148
GF_01678,0.00019815886978142091
GF_01732,0.00019313114231172317
GF_00968,0.0001895876067655059
GF_00702,0.0001865574213628191
GF_01512,0.00018461663216687136
GF_01542,0.00018417809633339163
GF_00457,0.00017440785004074695
GF_01550,0.00017439149061628876
GF_00336,0.00017349586914303328
GF_00729,0.00017092270656241012
GF_00302,0.00016823403124534205
