gene_family,Gradient Boosting,Logistic Regression,Random Forest,XGBoost
GF_00175,0.002919417931474507,0.4617030867909973,0.0002516615422860205,0.0019583753310143948
GF_00982,0.0018104643234305915,0.37939409871028873,0.0008314896285388188,0.002004540292546153
GF_01328,0.003691189754285916,0.33064427083893955,0.01377142366810891,0.010836240835487843
GF_01783,0.008546112378824796,0.3351099105262513,0.006591405203303186,0.008538985624909401
GF_00702,0.0001865574213628191,0.3576963511452408,0.00013726190404427923,0.0006206760881468654
GF_01426,0.21289259302193392,0.0565533490872097,0.02224057098686598,0.06300990283489227
GF_00684,0.0004907434440417765,0.32703219140324735,3.749801207347339e-05,0.0006135748117230833
GF_02141,0.10414242438150241,0.1988078295830063,0.00990225248973267,0.011132873594760895
GF_02180,0.01742594443485169,0.2783875379949391,0.005133072205734331,0.0034909259993582964
GF_01927,0.003150088313775398,0.2874996174987455,0.00014297099842833761,0.0007437188178300858
GF_00426,0.0013327649709161675,0.2624228942857948,0.00038230117124690575,0.00040079900645650923
GF_01386,0.12873309744900513,0.024889628570807582,0.030385958782496066,0.07995413988828659
GF_02263,0.002836375690246117,0.2572040914956871,0.0004249571314368427,0.0007235786179080606
GF_00856,0.02620594216279116,0.22075928245024629,0.003926725252451959,0.005016283597797155
GF_02071,0.1093005766350346,0.07514035225617591,0.010647843273143028,0.04928361624479294
GF_02145,0.0028977734724409386,0.23365150929582806,0.00040406740147822597,0.001506701810285449
GF_01673,1.5290980389812126e-05,0.2297209551381459,0.00044524800351590694,0.0006871987716294825
GF_00080,0.0030613441743659923,0.18666526799754077,0.0158506832873698,0.019592994824051857
GF_00315,0.0008716947941268073,0.21616787005856178,0.0006532344712428841,0.0030060738790780306
GF_02075,0.0006736503920674801,0.21646456944330605,0.0005550554912437922,0.0016531364526599646
GF_01659,0.003920414196285838,0.20879536674054924,0.0030547886094476335,0.002672019647434354
GF_02059,0.003356268757228449,0.20541114571787036,0.0008100733126762091,0.001283861929550767
GF_01834,0.00597826102762871,0.18237455454211748,0.006678735015288188,0.011762173846364021
GF_00608,0.006961200492102931,0.18802435955693303,0.00289861269888577,0.0037963013164699078
GF_01480,0.008438904481574753,0.18733217313828052,0.0,0.0021828697063028812
GF_01462,0.009228431848256159,0.17756759509407377,0.007053400395551733,0.0012539633316919208
GF_00971,1.5377161602687719e-06,0.189504790264749,0.0008850388581628756,0.004545040428638458
GF_02260,0.00594312602246882,0.17654280690692867,0.0009731803766401136,0.002181775402277708
GF_00819,0.001114567667754454,0.18015135151861472,0.0010317925748266792,0.002549910917878151
GF_00957,0.00024867838106690124,0.17606037901800448,0.0021666574705860643,0.0013320909347385168
