gene_family,importance
GF_00175,0.4617030867909973
GF_00982,0.37939409871028873
GF_00702,0.3576963511452408
GF_01783,0.3351099105262513
GF_01328,0.33064427083893955
GF_00684,0.32703219140324735
GF_01927,0.2874996174987455
GF_02180,0.2783875379949391
GF_00426,0.2624228942857948
GF_02263,0.2572040914956871
GF_02145,0.23365150929582806
GF_01673,0.2297209551381459
GF_00856,0.22075928245024629
GF_02075,0.21646456944330605
GF_00315,0.21616787005856178
GF_01659,0.20879536674054924
GF_02059,0.20541114571787036
GF_02141,0.1988078295830063
GF_00971,0.189504790264749
GF_00608,0.18802435955693303
GF_01480,0.18733217313828052
GF_00080,0.18666526799754077
GF_01834,0.18237455454211748
GF_00819,0.18015135151861472
GF_01462,0.17756759509407377
GF_02260,0.17654280690692867
GF_00957,0.17606037901800448
GF_01332,0.17364374081671086
GF_01691,0.1716449776175911
GF_00661,0.1704062851032891
GF_01239,0.16902878216597603
GF_01331,0.16645869238648356
GF_01619,0.16298737164778576
GF_01799,0.1615958318282245
GF_00931,0.16056954837320098
GF_00866,0.16006815308910177
GF_01425,0.15957535118013952
GF_01734,0.15774819185468694
GF_01232,0.15463910829886243
GF_01580,0.1535374970808145
GF_01930,0.15028024107261279
GF_00455,0.1484263424800781
GF_00828,0.1481546461154577
GF_01928,0.14793125745281838
GF_02152,0.1473938989021894
GF_00302,0.14678522308767825
GF_00888,0.1464810296542613
GF_00107,0.14603289546114312
GF_00083,0.14331407521405537
GF_01584,0.14213195363473047
GF_01539,0.14108890864111867
GF_01391,0.1410299731833003
GF_01379,0.1403344803059384
GF_00081,0.13950514002732012
GF_00082,0.13878396288434974
GF_01638,0.13834137665555363
GF_01904,0.1360728312287506
GF_00011,0.13500026302119605
GF_00435,0.1337357443448271
GF_00458,0.13347972683527845
GF_01327,0.13269071959843043
GF_00044,0.13255130612320776
GF_01618,0.1318928911596222
GF_01399,0.13095543287924732
GF_02088,0.1297493652841621
GF_00776,0.12974049241778246
GF_02262,0.12951057397554264
GF_00349,0.12714153174785617
GF_00736,0.126693153219211
GF_00682,0.12657346254194496
GF_00595,0.12644332325918037
GF_01583,0.12629851109241208
GF_01733,0.1261187187830491
GF_01234,0.1260735528673329
GF_00344,0.12586205114525384
GF_01512,0.12571998925355743
GF_01537,0.12478776506753102
GF_00363,0.1245957486517488
GF_00536,0.12424972614520505
GF_01592,0.12364188784189037
GF_01476,0.1225045287819222
GF_01550,0.12170124221168806
GF_00611,0.12038382838708148
GF_00402,0.1186926424862544
GF_00300,0.11765650910794719
GF_01456,0.11666189211668121
GF_00012,0.11641949692711115
GF_02142,0.11350622316707482
GF_00523,0.11331254868411791
GF_02264,0.11263400074687133
GF_01630,0.11180334013896294
GF_01054,0.11135579281816584
GF_00326,0.11105458514528521
GF_00796,0.11089217642168961
GF_00440,0.11064091361391712
GF_00396,0.11056508876649582
GF_00477,0.1100018998421231
GF_00723,0.10998935531440306
GF_00603,0.10910929590653073
GF_00618,0.10885811390398406
GF_00437,0.1086212778455096
GF_02130,0.10821052068674872
GF_02261,0.1078777665629261
GF_00348,0.10781813115609576
GF_00141,0.10761025733170307
GF_00393,0.10753900671334016
GF_00594,0.10752371066567394
GF_02069,0.10738519568956253
GF_01481,0.10721369711778206
GF_00857,0.1062961679404822
GF_01248,0.10499727927906759
GF_00235,0.10458824843005618
GF_01678,0.10452887010695033
GF_01805,0.10404953691181185
GF_00811,0.10396779449689783
GF_00343,0.10382756585530568
GF_00330,0.10340279883442705
GF_00434,0.10330201602925022
GF_02226,0.10315757366425726
GF_01394,0.1028518122502031
GF_02222,0.10276623948310397
GF_00317,0.10236914903593428
GF_00681,0.10197446930876226
GF_01553,0.10170236548628053
GF_00311,0.10154228477714793
GF_00077,0.10151692994452839
GF_00525,0.10151692994452839
GF_00528,0.10151692994452839
GF_00530,0.101511003713782
GF_00959,0.10133288981417299
GF_02143,0.10096588964988902
GF_00430,0.10079368335830283
GF_01620,0.10064473572384543
GF_00394,0.10023328899807413
GF_02110,0.10013724379664915
GF_01737,0.10011191835182742
GF_01504,0.09990683231064738
GF_00604,0.09971156177380078
GF_00401,0.09914684560419015
GF_00616,0.09896919262054674
GF_00180,0.09860231060381593
GF_01807,0.09823257390225901
GF_00114,0.09781497859749165
GF_02132,0.0972197437069259
GF_02215,0.09700361025739916
GF_00309,0.09671615533560034
GF_02216,0.09671592659987169
GF_01870,0.09509111892496577
GF_02109,0.094767592193633
GF_00601,0.09429194897665516
GF_01806,0.09404659676679299
GF_01809,0.09371191798231862
GF_01246,0.09357417773827151
GF_01382,0.09345552309389218
GF_02172,0.09295790297488721
GF_00406,0.09243662143005191
GF_01337,0.0916283392815824
GF_00968,0.09122842714873462
GF_00761,0.0911997930714077
GF_00432,0.0910923519683978
GF_01736,0.0907412395491195
GF_00524,0.09073671242293882
